CHECK_ID,PROJECT_NAME,SOURCE_PATH,CHECKED_AT_UTC,DURATION_MS,VERDICT,ENTITIES_CHANGED,ERROR_MESSAGE,PLAN_QUERY_ID,NOTIFIED,ACKNOWLEDGED_AT
1,DCM_ADMIN.PROJECTS.PBI_CAPACITIES,@DCM_ADMIN.PROJECTS.PBI_CAPACITIES_SRC,2026-08-22T14:19:35.928000,3439,CLEAN,0,,01c68fbb-3206-c7a6-0003-a88e00019c66,False,
101,DCM_ADMIN.PROJECTS.PBI_CAPACITIES,@DCM_ADMIN.PROJECTS.PBI_CAPACITIES_SRC,2026-08-22T14:19:42.690000,2087,ERROR,-1,"Error during DCM PLAN of DCM Project DCM_ADMIN.PROJECTS.PBI_CAPACITIES: Execution failed after completing [7/12] statement executions in file sources/definitions/20_stg_capacities.sql on line 9 at position 1:
Unsupported feature 'CREATE OR ALTER TABLE column add before end of column list'.",,False,2026-08-22T15:12:14.043000
2,DCM_ADMIN.PROJECTS.PBI_CAPACITIES,@DCM_ADMIN.PROJECTS.PBI_CAPACITIES_SRC,2026-08-22T14:20:32.984000,3549,CLEAN,0,,01c68fbc-3206-c7a6-0003-a88e00019d6a,False,
102,DCM_ADMIN.PROJECTS.PBI_CAPACITIES,@DCM_ADMIN.PROJECTS.PBI_CAPACITIES_SRC,2026-08-22T14:20:39.410000,3669,DRIFT,2,,01c68fbc-3206-c816-0003-a88e0001b17a,False,2026-08-22T15:12:14.043000
103,DCM_ADMIN.PROJECTS.PBI_CAPACITIES,@DCM_ADMIN.PROJECTS.PBI_CAPACITIES_SRC,2026-08-22T14:22:32.779000,2897,CLEAN,0,,01c68fbe-3206-c816-0003-a88e0001b206,False,
104,DCM_ADMIN.PROJECTS.PBI_CAPACITIES,@DCM_ADMIN.PROJECTS.PBI_CAPACITIES_SRC,2026-08-22T14:24:00.433000,3348,DRIFT,1,,01c68fc0-3206-c816-0003-a88e0001b276,True,
105,DCM_ADMIN.PROJECTS.PBI_CAPACITIES,@DCM_ADMIN.PROJECTS.PBI_CAPACITIES_SRC,2026-08-22T14:24:38.367000,3089,CLEAN,0,,01c68fc0-3206-c816-0003-a88e0001b2ea,False,
3,DCM_ADMIN.PROJECTS.PBI_CAPACITIES,@DCM_ADMIN.PROJECTS.PBI_REPO/branches/main/,2026-08-22T15:07:52.032000,12544,DRIFT,1,,01c68feb-3206-c7a6-0003-a88e0001d2be,False,2026-08-22T15:12:14.043000
1000,DCM_ADMIN.PROJECTS.PBI_CAPACITIES,@DCM_ADMIN.PROJECTS.PBI_REPO/branches/main/,2026-08-22T15:10:25,6605,DRIFT,1,,01c68fee-3206-c7a6-0003-a88e0001d4ce,True,
1001,DCM_ADMIN.PROJECTS.PBI_CAPACITIES,@DCM_ADMIN.PROJECTS.PBI_REPO/branches/main/,2026-08-22T15:10:54.547000,5962,CLEAN,0,,01c68fee-3206-c7a6-0003-a88e0001d5ea,False,
1002,DCM_ADMIN.PROJECTS.PBI_CAPACITIES,@DCM_ADMIN.PROJECTS.PBI_REPO/branches/main/,2026-08-22T15:12:49.620000,19958,CLEAN,0,,01c68ff0-3206-c7a6-0003-a88e0001d68a,False,
1100,DCM_ADMIN.PROJECTS.PBI_CAPACITIES,@DCM_ADMIN.PROJECTS.PBI_REPO/branches/main/,2026-08-24T05:00:08.135000,21316,CLEAN,0,,01c698cc-3206-b9a8-0003-a88e00032b32,False,
1200,DCM_ADMIN.PROJECTS.PBI_CAPACITIES,@DCM_ADMIN.PROJECTS.PBI_REPO/branches/main/,2026-08-25T05:00:08.657000,21411,CLEAN,0,,01c69e6c-3206-d065-0003-a88e0004008e,False,
